passbook_number,farmer_name,mobile_number,village,mandal,district,survey_number,total_land_acres,latitude,longitude
PPB000110,Naresh Yadav,9075818141,Miyapur,Serilingampally,Hyderabad,SY000110,7.87,17.491456,78.365106
PPB000111,Naresh Sharma,9137506068,Miyapur,Serilingampally,Hyderabad,SY000111,4.37,17.493723,78.348632
PPB000112,Ramesh Patel,9152204727,Bachupally,Quthbullapur,Medchal,SY000112,5.04,17.536105,78.358585
PPB000113,Mahesh Rao,9898614341,Shamirpet,Shamirpet,Medchal,SY000113,1.43,17.593097,78.570878
PPB000114,Suresh Reddy,9798089324,Nalgonda,Nalgonda,Nalgonda,SY000114,4.86,17.052296,79.261811
PPB000115,Ravi Reddy,9851888880,Shadnagar,Shadnagar,Rangareddy,SY000115,4.51,17.069403,78.207713
PPB000116,Kiran Kumar,9515319520,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000116,4.17,17.186771,78.574856
PPB000117,Mohan Verma,9221704303,Nalgonda,Nalgonda,Nalgonda,SY000117,8.97,17.046312,79.263202
PPB000118,Naresh Goud,9740345054,Shadnagar,Shadnagar,Rangareddy,SY000118,2.12,17.06736,78.21279
PPB000119,Venkat Sharma,9527758416,Nalgonda,Nalgonda,Nalgonda,SY000119,1.71,17.052049,79.273447
PPB000120,Kiran Patel,9115447962,Suryapet,Suryapet,Suryapet,SY000120,7.21,17.137031,79.610847
PPB000121,Prakash Sharma,9401658202,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000121,8.64,17.193562,78.570763
PPB000122,Suresh Naidu,9556909275,Miyapur,Serilingampally,Hyderabad,SY000122,4.35,17.501262,78.358478
PPB000123,Anil Sharma,9543102786,Suryapet,Suryapet,Suryapet,SY000123,9.22,17.132355,79.625499
PPB000124,Mahesh Varma,9473121727,Nalgonda,Nalgonda,Nalgonda,SY000124,9.98,17.05621,79.276351
PPB000125,Naveen Patel,9188442258,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000125,3.02,17.199703,78.577841
PPB000126,Arjun Verma,9058957829,Bachupally,Quthbullapur,Medchal,SY000126,8.96,17.537315,78.364963
PPB000127,Srikanth Sharma,9691251778,Nalgonda,Nalgonda,Nalgonda,SY000127,4.1,17.057559,79.272605
PPB000128,Ravi Rao,9680182422,Kodad,Kodad,Suryapet,SY000128,3.9,17.002187,79.96192
PPB000129,Venkat Yadav,9143842498,Suryapet,Suryapet,Suryapet,SY000129,1.84,17.14282,79.621836
PPB000130,Ravi Rao,9995900109,Kodad,Kodad,Suryapet,SY000130,3.38,16.992216,79.966443
PPB000131,Naveen Kumar,9784473647,Kodad,Kodad,Suryapet,SY000131,1.66,16.989198,79.963792
PPB000132,Vijay Naidu,9592555625,Nalgonda,Nalgonda,Nalgonda,SY000132,5.63,17.042124,79.261835
PPB000133,Kiran Verma,9321046963,Gachibowli,Serilingampally,Hyderabad,SY000133,9.66,17.448146,78.35517
PPB000134,Mohan Patel,9327877470,Kodad,Kodad,Suryapet,SY000134,1.81,16.995865,79.964145
PPB000135,Mahesh Varma,9500479748,Bachupally,Quthbullapur,Medchal,SY000135,1.07,17.53815,78.359679
PPB000136,Mohan Patel,9650609835,Shamirpet,Shamirpet,Medchal,SY000136,5.98,17.586171,78.565085
PPB000137,Kiran Varma,9912165585,Suryapet,Suryapet,Suryapet,SY000137,7.79,17.133981,79.620182
PPB000138,Ramesh Kumar,9025787298,Suryapet,Suryapet,Suryapet,SY000138,2.26,17.148627,79.616371
PPB000139,Prakash Yadav,9958887947,Shadnagar,Shadnagar,Rangareddy,SY000139,8.34,17.067367,78.208476
PPB000140,Prakash Yadav,9097499309,Shadnagar,Shadnagar,Rangareddy,SY000140,5.32,17.070485,78.209424
PPB000141,Ravi Naidu,9091307562,Shadnagar,Shadnagar,Rangareddy,SY000141,4.72,17.064078,78.205036
PPB000142,Venkat Verma,9028385786,Kodad,Kodad,Suryapet,SY000142,3.82,16.991464,79.973242
PPB000143,Srikanth Patel,9497334843,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000143,9.47,17.199645,78.577423
PPB000144,Mohan Verma,9575844198,Bachupally,Quthbullapur,Medchal,SY000144,4.42,17.555603,78.373368
PPB000145,Kiran Kumar,9415747338,Miyapur,Serilingampally,Hyderabad,SY000145,3.44,17.49724,78.352432
PPB000146,Prakash Varma,9330833016,Gachibowli,Serilingampally,Hyderabad,SY000146,3.97,17.439548,78.352524
PPB000147,Ramesh Goud,9267734540,Miyapur,Serilingampally,Hyderabad,SY000147,9.17,17.487789,78.358483
PPB000148,Mohan Kumar,9262067240,Suryapet,Suryapet,Suryapet,SY000148,1.08,17.141359,79.612146
PPB000149,Kiran Verma,9887287431,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000149,3.98,17.194622,78.574966
PPB000150,Ramesh Patel,9493296685,Miyapur,Serilingampally,Hyderabad,SY000150,1.78,17.499385,78.350696
PPB000151,Vijay Patel,9304637454,Miyapur,Serilingampally,Hyderabad,SY000151,6.24,17.497458,78.352231
PPB000152,Mohan Naidu,9017426841,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000152,6.75,17.198813,78.569351
PPB000153,Mahesh Rao,9727956878,Bachupally,Quthbullapur,Medchal,SY000153,8.22,17.552512,78.372237
PPB000154,Naresh Reddy,9878519108,Kodad,Kodad,Suryapet,SY000154,9.13,16.992043,79.965733
PPB000155,Anil Goud,9713971870,Miyapur,Serilingampally,Hyderabad,SY000155,5.08,17.496265,78.356136
PPB000156,Srikanth Verma,9406403910,Kondapur,Serilingampally,Hyderabad,SY000156,4.81,17.462008,78.356823
PPB000157,Venkat Reddy,9704622656,Kondapur,Serilingampally,Hyderabad,SY000157,5.04,17.466342,78.35355
PPB000158,Naveen Goud,9251286823,Gachibowli,Serilingampally,Hyderabad,SY000158,8.51,17.445224,78.35847
PPB000159,Naveen Goud,9686337524,Nalgonda,Nalgonda,Nalgonda,SY000159,2.7,17.057504,79.27231
PPB000160,Arjun Sharma,9903311907,Kondapur,Serilingampally,Hyderabad,SY000160,6.38,17.462066,78.346974
PPB000161,Rajesh Verma,9383028439,Kondapur,Serilingampally,Hyderabad,SY000161,3.87,17.459958,78.359451
PPB000162,Mahesh Yadav,9283644089,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000162,8.92,17.198232,78.57452
PPB000163,Srikanth Verma,9056856624,Shadnagar,Shadnagar,Rangareddy,SY000163,4.39,17.075088,78.20447
PPB000164,Kiran Rao,9708668826,Bachupally,Quthbullapur,Medchal,SY000164,3.19,17.540067,78.369934
PPB000165,Naresh Patel,9183046990,Nalgonda,Nalgonda,Nalgonda,SY000165,8.86,17.043763,79.272234
PPB000166,Mahesh Verma,9354033173,Suryapet,Suryapet,Suryapet,SY000166,7.26,17.144075,79.617933
PPB000167,Srikanth Patel,9467854458,Bachupally,Quthbullapur,Medchal,SY000167,8.95,17.54532,78.373056
PPB000168,Arjun Patel,9355609320,Nalgonda,Nalgonda,Nalgonda,SY000168,3.35,17.058695,79.268583
PPB000169,Kiran Rao,9353693785,Shadnagar,Shadnagar,Rangareddy,SY000169,3.32,17.076432,78.21433
PPB000170,Vijay Rao,9522872808,Nalgonda,Nalgonda,Nalgonda,SY000170,1.3,17.056934,79.275904
PPB000171,Arjun Kumar,9623120387,Kondapur,Serilingampally,Hyderabad,SY000171,4.36,17.460357,78.359335
PPB000172,Venkat Verma,9700886008,Kodad,Kodad,Suryapet,SY000172,7.5,16.998715,79.960734
PPB000173,Naresh Sharma,9211823398,Suryapet,Suryapet,Suryapet,SY000173,3.27,17.137089,79.625899
PPB000174,Anil Sharma,9793341016,Gachibowli,Serilingampally,Hyderabad,SY000174,4.41,17.441154,78.340022
PPB000175,Mohan Rao,9176591803,Kondapur,Serilingampally,Hyderabad,SY000175,2.9,17.465362,78.363751
PPB000176,Kiran Kumar,9148902503,Nalgonda,Nalgonda,Nalgonda,SY000176,6.28,17.055045,79.271254
PPB000177,Venkat Reddy,9429396856,Shadnagar,Shadnagar,Rangareddy,SY000177,7.8,17.062799,78.21477
PPB000178,Srikanth Patel,9016315999,Gachibowli,Serilingampally,Hyderabad,SY000178,4.57,17.445571,78.339493
PPB000179,Arjun Verma,9735866296,Shamirpet,Shamirpet,Medchal,SY000179,1.77,17.597072,78.570961
PPB000180,Suresh Yadav,9262655110,Gachibowli,Serilingampally,Hyderabad,SY000180,9.49,17.438995,78.354127
PPB000181,Ravi Reddy,9267888610,Gachibowli,Serilingampally,Hyderabad,SY000181,1.81,17.441184,78.350838
PPB000182,Naresh Sharma,9046618398,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000182,2.53,17.187615,78.564777
PPB000183,Kiran Verma,9212646471,Shamirpet,Shamirpet,Medchal,SY000183,4.25,17.603584,78.569418
PPB000184,Prakash Varma,9371240659,Nalgonda,Nalgonda,Nalgonda,SY000184,4.42,17.057244,79.265804
PPB000185,Naresh Varma,9245937526,Shadnagar,Shadnagar,Rangareddy,SY000185,9.72,17.065829,78.208899
PPB000186,Prakash Naidu,9564651939,Nalgonda,Nalgonda,Nalgonda,SY000186,9.98,17.043599,79.272352
PPB000187,Mohan Verma,9374167243,Kondapur,Serilingampally,Hyderabad,SY000187,3.27,17.451083,78.354463
PPB000188,Suresh Verma,9979688680,Shadnagar,Shadnagar,Rangareddy,SY000188,8.12,17.067191,78.21291
PPB000189,Prakash Reddy,9135290965,Suryapet,Suryapet,Suryapet,SY000189,9.69,17.138609,79.610211
PPB000190,Mahesh Goud,9889937567,Shamirpet,Shamirpet,Medchal,SY000190,7.95,17.596472,78.565009
PPB000191,Ramesh Verma,9146112545,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000191,5.1,17.184137,78.571659
PPB000192,Suresh Verma,9751401051,Nalgonda,Nalgonda,Nalgonda,SY000192,7.09,17.043287,79.276678
PPB000193,Srikanth Rao,9825867362,Bachupally,Quthbullapur,Medchal,SY000193,2.68,17.549146,78.364912
PPB000194,Venkat Naidu,9796603341,Kodad,Kodad,Suryapet,SY000194,6.2,17.00399,79.965738
PPB000195,Anil Naidu,9714785969,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000195,4.53,17.182285,78.56904
PPB000196,Prakash Rao,9499125134,Nalgonda,Nalgonda,Nalgonda,SY000196,2.05,17.047466,79.259827
PPB000197,Rajesh Varma,9296627828,Shadnagar,Shadnagar,Rangareddy,SY000197,2.5,17.065777,78.198742
PPB000198,Prakash Kumar,9507236887,Nalgonda,Nalgonda,Nalgonda,SY000198,4.68,17.049835,79.271203
PPB000199,Vijay Rao,9190340438,Nalgonda,Nalgonda,Nalgonda,SY000199,3.6,17.055615,79.268313
PPB000200,Srikanth Goud,9191485807,Nalgonda,Nalgonda,Nalgonda,SY000200,5.92,17.059796,79.259048
PPB000201,Kiran Kumar,9745171339,Bachupally,Quthbullapur,Medchal,SY000201,7.2,17.553221,78.369205
PPB000202,Ravi Varma,9233095849,Shadnagar,Shadnagar,Rangareddy,SY000202,5.85,17.066473,78.209081
PPB000203,Prakash Yadav,9812604223,Shamirpet,Shamirpet,Medchal,SY000203,2.32,17.591142,78.559951
PPB000204,Vijay Rao,9946671168,Shadnagar,Shadnagar,Rangareddy,SY000204,7.75,17.073894,78.212546
PPB000205,Vijay Patel,9901751863,Nalgonda,Nalgonda,Nalgonda,SY000205,9.71,17.056497,79.266894
PPB000206,Naresh Yadav,9589297500,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000206,1.9,17.195678,78.571192
PPB000207,Venkat Rao,9770632424,Gachibowli,Serilingampally,Hyderabad,SY000207,1.84,17.437309,78.340548
PPB000208,Ramesh Sharma,9436110371,Miyapur,Serilingampally,Hyderabad,SY000208,2.19,17.490524,78.3606
PPB000209,Ramesh Patel,9162713611,Kondapur,Serilingampally,Hyderabad,SY000209,1.93,17.455351,78.351985
PPB000210,Arjun Rao,9218909275,Shadnagar,Shadnagar,Rangareddy,SY000210,7.5,17.072562,78.198027
PPB000211,Prakash Verma,9311219656,Shadnagar,Shadnagar,Rangareddy,SY000211,3.83,17.062797,78.200539
PPB000212,Mahesh Goud,9999404389,Gachibowli,Serilingampally,Hyderabad,SY000212,5.59,17.445057,78.344811
PPB000213,Arjun Naidu,9761379180,Kondapur,Serilingampally,Hyderabad,SY000213,9.88,17.466678,78.34864
PPB000214,Rajesh Patel,9827109104,Kodad,Kodad,Suryapet,SY000214,2.94,17.006452,79.973974
PPB000215,Srikanth Yadav,9866618892,Shadnagar,Shadnagar,Rangareddy,SY000215,3.5,17.066198,78.205226
PPB000216,Arjun Rao,9856914630,Bachupally,Quthbullapur,Medchal,SY000216,3.2,17.554493,78.35932
PPB000217,Prakash Kumar,9421020275,Kodad,Kodad,Suryapet,SY000217,5.71,17.00366,79.969415
PPB000218,Anil Rao,9410564814,Miyapur,Serilingampally,Hyderabad,SY000218,7.41,17.497533,78.348541
PPB000219,Srikanth Patel,9079252419,Nalgonda,Nalgonda,Nalgonda,SY000219,7.07,17.042307,79.271816
PPB000220,Ramesh Kumar,9307562208,Kondapur,Serilingampally,Hyderabad,SY000220,8.23,17.46228,78.359114
PPB000221,Anil Naidu,9654195180,Bachupally,Quthbullapur,Medchal,SY000221,2.61,17.552087,78.376628
PPB000222,Suresh Verma,9445187053,Shadnagar,Shadnagar,Rangareddy,SY000222,3.62,17.07569,78.209792
PPB000223,Vijay Patel,9973832060,Bachupally,Quthbullapur,Medchal,SY000223,3.1,17.542928,78.373791
PPB000224,Anil Kumar,9641383670,Kondapur,Serilingampally,Hyderabad,SY000224,9.75,17.450847,78.351597
PPB000225,Venkat Naidu,9865719182,Kondapur,Serilingampally,Hyderabad,SY000225,6.73,17.455887,78.357838
PPB000226,Rajesh Rao,9344565574,Kondapur,Serilingampally,Hyderabad,SY000226,3.1,17.466871,78.348722
PPB000227,Suresh Rao,9127756185,Kodad,Kodad,Suryapet,SY000227,9.68,16.992153,79.961166
PPB000228,Naresh Reddy,9124903521,Shamirpet,Shamirpet,Medchal,SY000228,7.4,17.604068,78.562925
PPB000229,Naveen Yadav,9420678831,Kondapur,Serilingampally,Hyderabad,SY000229,5.16,17.464078,78.348796
PPB000230,Ramesh Naidu,9236519941,Kondapur,Serilingampally,Hyderabad,SY000230,1.2,17.449289,78.36405
PPB000231,Arjun Rao,9151070296,Nalgonda,Nalgonda,Nalgonda,SY000231,8.4,17.0479,79.25759
PPB000232,Ravi Patel,9324472099,Shadnagar,Shadnagar,Rangareddy,SY000232,6.55,17.072946,78.204978
PPB000233,Vijay Kumar,9146263838,Suryapet,Suryapet,Suryapet,SY000233,8.15,17.149788,79.625638
PPB000234,Vijay Goud,9759856420,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000234,3.87,17.18438,78.579915
PPB000235,Ramesh Verma,9859321334,Shamirpet,Shamirpet,Medchal,SY000235,5.8,17.600525,78.569741
